110011 易方达中小盘 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/06/19	1.0000	1.0000	1.0000	1.0000	0	0.00
2008/06/20	1.0001	1.0001	1.0001	1.0001	0	0.00
2008/06/23	1.0001	1.0001	1.0001	1.0001	0	0.00
2008/06/24	1.0001	1.0001	1.0001	1.0001	0	0.00
2008/06/25	1.0001	1.0001	1.0001	1.0001	0	0.00
2008/06/26	1.0001	1.0001	1.0001	1.0001	0	0.00
2008/06/27	0.9999	0.9999	0.9999	0.9999	0	0.00
2008/06/30	0.9999	0.9999	0.9999	0.9999	0	0.00
2008/07/01	0.9999	0.9999	0.9999	0.9999	0	0.00
2008/07/02	0.9999	0.9999	0.9999	0.9999	0	0.00
2008/07/03	0.9999	0.9999	0.9999	0.9999	0	0.00
2008/07/04	1.0002	1.0002	1.0002	1.0002	0	0.00
2008/07/07	1.0002	1.0002	1.0002	1.0002	0	0.00
2008/07/08	1.0002	1.0002	1.0002	1.0002	0	0.00
2008/07/09	1.0002	1.0002	1.0002	1.0002	0	0.00
2008/07/10	1.0002	1.0002	1.0002	1.0002	0	0.00
2008/07/11	1.0031	1.0031	1.0031	1.0031	0	0.00
2008/07/14	1.0031	1.0031	1.0031	1.0031	0	0.00
2008/07/15	1.0031	1.0031	1.0031	1.0031	0	0.00
2008/07/16	1.0031	1.0031	1.0031	1.0031	0	0.00
2008/07/17	1.0031	1.0031	1.0031	1.0031	0	0.00
2008/07/18	0.9961	0.9961	0.9961	0.9961	0	0.00
2008/07/21	0.9961	0.9961	0.9961	0.9961	0	0.00
2008/07/22	0.9961	0.9961	0.9961	0.9961	0	0.00
2008/07/23	0.9961	0.9961	0.9961	0.9961	0	0.00
2008/07/24	0.9961	0.9961	0.9961	0.9961	0	0.00
2008/07/25	1.0054	1.0054	1.0054	1.0054	0	0.00
2008/07/28	1.0054	1.0054	1.0054	1.0054	0	0.00
2008/07/29	1.0054	1.0054	1.0054	1.0054	0	0.00
2008/07/30	1.0054	1.0054	1.0054	1.0054	0	0.00
2008/07/31	1.0054	1.0054	1.0054	1.0054	0	0.00
2008/08/01	0.9945	0.9945	0.9945	0.9945	0	0.00
2008/08/04	0.9945	0.9945	0.9945	0.9945	0	0.00
2008/08/05	0.9945	0.9945	0.9945	0.9945	0	0.00
2008/08/06	0.9945	0.9945	0.9945	0.9945	0	0.00
2008/08/07	0.9945	0.9945	0.9945	0.9945	0	0.00
2008/08/08	0.9739	0.9739	0.9739	0.9739	0	0.00
2008/08/11	0.9739	0.9739	0.9739	0.9739	0	0.00
2008/08/12	0.9739	0.9739	0.9739	0.9739	0	0.00
2008/08/13	0.9739	0.9739	0.9739	0.9739	0	0.00
2008/08/14	0.9739	0.9739	0.9739	0.9739	0	0.00
2008/08/15	0.9658	0.9658	0.9658	0.9658	0	0.00
2008/08/18	0.9658	0.9658	0.9658	0.9658	0	0.00
2008/08/19	0.9658	0.9658	0.9658	0.9658	0	0.00
2008/08/20	0.9658	0.9658	0.9658	0.9658	0	0.00
2008/08/21	0.9658	0.9658	0.9658	0.9658	0	0.00
2008/08/22	0.9599	0.9599	0.9599	0.9599	0	0.00
2008/08/25	0.9599	0.9599	0.9599	0.9599	0	0.00
2008/08/26	0.9599	0.9599	0.9599	0.9599	0	0.00
2008/08/27	0.9599	0.9599	0.9599	0.9599	0	0.00
2008/08/28	0.9599	0.9599	0.9599	0.9599	0	0.00
2008/08/29	0.9523	0.9523	0.9523	0.9523	0	0.00
2008/09/01	0.9523	0.9523	0.9523	0.9523	0	0.00
2008/09/02	0.9523	0.9523	0.9523	0.9523	0	0.00
2008/09/03	0.9523	0.9523	0.9523	0.9523	0	0.00
2008/09/04	0.9523	0.9523	0.9523	0.9523	0	0.00
2008/09/05	0.9336	0.9336	0.9336	0.9336	0	0.00
2008/09/08	0.9336	0.9336	0.9336	0.9336	0	0.00
2008/09/09	0.9336	0.9336	0.9336	0.9336	0	0.00
2008/09/10	0.9336	0.9336	0.9336	0.9336	0	0.00
2008/09/11	0.9336	0.9336	0.9336	0.9336	0	0.00
2008/09/12	0.9299	0.9299	0.9299	0.9299	0	0.00
2008/09/16	0.9299	0.9299	0.9299	0.9299	0	0.00
2008/09/17	0.9299	0.9299	0.9299	0.9299	0	0.00
2008/09/18	0.9261	0.9261	0.9261	0.9261	0	0.00
2008/09/19	0.9378	0.9378	0.9378	0.9378	0	0.00
2008/09/22	0.9425	0.9425	0.9425	0.9425	0	0.00
2008/09/23	0.9284	0.9284	0.9284	0.9284	0	0.00
2008/09/24	0.9294	0.9294	0.9294	0.9294	0	0.00
2008/09/25	0.9402	0.9402	0.9402	0.9402	0	0.00
2008/09/26	0.9451	0.9451	0.9451	0.9451	0	0.00
2008/10/06	0.9305	0.9305	0.9305	0.9305	0	0.00
2008/10/07	0.9354	0.9354	0.9354	0.9354	0	0.00
2008/10/08	0.9271	0.9271	0.9271	0.9271	0	0.00
2008/10/09	0.9258	0.9258	0.9258	0.9258	0	0.00
2008/10/10	0.9160	0.9160	0.9160	0.9160	0	0.00
2008/10/13	0.9266	0.9266	0.9266	0.9266	0	0.00
2008/10/14	0.9235	0.9235	0.9235	0.9235	0	0.00
2008/10/15	0.9227	0.9227	0.9227	0.9227	0	0.00
2008/10/16	0.9077	0.9077	0.9077	0.9077	0	0.00
2008/10/17	0.9086	0.9086	0.9086	0.9086	0	0.00
2008/10/20	0.9159	0.9159	0.9159	0.9159	0	0.00
2008/10/21	0.9160	0.9160	0.9160	0.9160	0	0.00
2008/10/22	0.9120	0.9120	0.9120	0.9120	0	0.00
2008/10/23	0.9115	0.9115	0.9115	0.9115	0	0.00
2008/10/24	0.9054	0.9054	0.9054	0.9054	0	0.00
2008/10/27	0.8910	0.8910	0.8910	0.8910	0	0.00
2008/10/28	0.8974	0.8974	0.8974	0.8974	0	0.00
2008/10/29	0.8918	0.8918	0.8918	0.8918	0	0.00
2008/10/30	0.8970	0.8970	0.8970	0.8970	0	0.00
2008/10/31	0.8952	0.8952	0.8952	0.8952	0	0.00
2008/11/03	0.8948	0.8948	0.8948	0.8948	0	0.00
2008/11/04	0.8886	0.8886	0.8886	0.8886	0	0.00
2008/11/05	0.8982	0.8982	0.8982	0.8982	0	0.00
2008/11/06	0.8939	0.8939	0.8939	0.8939	0	0.00
2008/11/07	0.8960	0.8960	0.8960	0.8960	0	0.00
2008/11/10	0.9133	0.9133	0.9133	0.9133	0	0.00
2008/11/11	0.9114	0.9114	0.9114	0.9114	0	0.00
2008/11/12	0.9121	0.9121	0.9121	0.9121	0	0.00
2008/11/13	0.9300	0.9300	0.9300	0.9300	0	0.00
2008/11/14	0.9459	0.9459	0.9459	0.9459	0	0.00
2008/11/17	0.9612	0.9612	0.9612	0.9612	0	0.00
2008/11/18	0.9432	0.9432	0.9432	0.9432	0	0.00
2008/11/19	0.9672	0.9672	0.9672	0.9672	0	0.00
2008/11/20	0.9640	0.9640	0.9640	0.9640	0	0.00
2008/11/21	0.9685	0.9685	0.9685	0.9685	0	0.00
2008/11/24	0.9515	0.9515	0.9515	0.9515	0	0.00
2008/11/25	0.9505	0.9505	0.9505	0.9505	0	0.00
2008/11/26	0.9537	0.9537	0.9537	0.9537	0	0.00
2008/11/27	0.9629	0.9629	0.9629	0.9629	0	0.00
2008/11/28	0.9629	0.9629	0.9629	0.9629	0	0.00
2008/12/01	0.9763	0.9763	0.9763	0.9763	0	0.00
2008/12/02	0.9848	0.9848	0.9848	0.9848	0	0.00
2008/12/03	0.9960	0.9960	0.9960	0.9960	0	0.00
2008/12/04	0.9990	0.9990	0.9990	0.9990	0	0.00
2008/12/05	1.0104	1.0104	1.0104	1.0104	0	0.00
2008/12/08	1.0271	1.0271	1.0271	1.0271	0	0.00
2008/12/09	1.0113	1.0113	1.0113	1.0113	0	0.00
2008/12/10	1.0313	1.0313	1.0313	1.0313	0	0.00
2008/12/11	1.0202	1.0202	1.0202	1.0202	0	0.00
2008/12/12	0.9993	0.9993	0.9993	0.9993	0	0.00
2008/12/15	1.0039	1.0039	1.0039	1.0039	0	0.00
2008/12/16	1.0149	1.0149	1.0149	1.0149	0	0.00
2008/12/17	1.0204	1.0204	1.0204	1.0204	0	0.00
2008/12/18	1.0308	1.0308	1.0308	1.0308	0	0.00
2008/12/19	1.0394	1.0394	1.0394	1.0394	0	0.00
2008/12/22	1.0327	1.0327	1.0327	1.0327	0	0.00
2008/12/23	1.0067	1.0067	1.0067	1.0067	0	0.00
2008/12/24	0.9979	0.9979	0.9979	0.9979	0	0.00
2008/12/25	0.9956	0.9956	0.9956	0.9956	0	0.00
2008/12/26	0.9931	0.9931	0.9931	0.9931	0	0.00
2008/12/29	0.9925	0.9925	0.9925	0.9925	0	0.00
2008/12/30	0.9946	0.9946	0.9946	0.9946	0	0.00
2008/12/31	0.9959	0.9959	0.9959	0.9959	0	0.00
2009/01/05	1.0095	1.0095	1.0095	1.0095	0	0.00
2009/01/06	1.0237	1.0237	1.0237	1.0237	0	0.00
2009/01/07	1.0235	1.0235	1.0235	1.0235	0	0.00
2009/01/08	1.0087	1.0087	1.0087	1.0087	0	0.00
2009/01/09	1.0226	1.0226	1.0226	1.0226	0	0.00
2009/01/12	1.0271	1.0271	1.0271	1.0271	0	0.00
2009/01/13	1.0035	1.0035	1.0035	1.0035	0	0.00
2009/01/14	1.0293	1.0293	1.0293	1.0293	0	0.00
2009/01/15	1.0291	1.0291	1.0291	1.0291	0	0.00
2009/01/16	1.0283	1.0283	1.0283	1.0283	0	0.00
2009/01/19	1.0307	1.0307	1.0307	1.0307	0	0.00
2009/01/20	1.0327	1.0327	1.0327	1.0327	0	0.00
2009/01/21	1.0291	1.0291	1.0291	1.0291	0	0.00
2009/01/22	1.0430	1.0430	1.0430	1.0430	0	0.00
2009/01/23	1.0419	1.0419	1.0419	1.0419	0	0.00
2009/02/02	1.0561	1.0561	1.0561	1.0561	0	0.00
2009/02/03	1.0785	1.0785	1.0785	1.0785	0	0.00
2009/02/04	1.0913	1.0913	1.0913	1.0913	0	0.00
2009/02/05	1.0787	1.0787	1.0787	1.0787	0	0.00
2009/02/06	1.1167	1.1167	1.1167	1.1167	0	0.00
2009/02/09	1.1468	1.1468	1.1468	1.1468	0	0.00
2009/02/10	1.1606	1.1606	1.1606	1.1606	0	0.00
2009/02/11	1.1634	1.1634	1.1634	1.1634	0	0.00
2009/02/12	1.1619	1.1619	1.1619	1.1619	0	0.00
2009/02/13	1.1912	1.1912	1.1912	1.1912	0	0.00
2009/02/16	1.2096	1.2096	1.2096	1.2096	0	0.00
2009/02/17	1.1740	1.1740	1.1740	1.1740	0	0.00
2009/02/18	1.1410	1.1410	1.1410	1.1410	0	0.00
2009/02/19	1.1618	1.1618	1.1618	1.1618	0	0.00
2009/02/20	1.1805	1.1805	1.1805	1.1805	0	0.00
2009/02/23	1.2017	1.2017	1.2017	1.2017	0	0.00
2009/02/24	1.1595	1.1595	1.1595	1.1595	0	0.00
2009/02/25	1.1530	1.1530	1.1530	1.1530	0	0.00
2009/02/26	1.1079	1.1079	1.1079	1.1079	0	0.00
2009/02/27	1.0903	1.0903	1.0903	1.0903	0	0.00
2009/03/02	1.1043	1.1043	1.1043	1.1043	0	0.00
2009/03/03	1.1066	1.1066	1.1066	1.1066	0	0.00
2009/03/04	1.1443	1.1443	1.1443	1.1443	0	0.00
2009/03/05	1.1433	1.1433	1.1433	1.1433	0	0.00
2009/03/06	1.1405	1.1405	1.1405	1.1405	0	0.00
2009/03/09	1.1182	1.1182	1.1182	1.1182	0	0.00
2009/03/10	1.1225	1.1225	1.1225	1.1225	0	0.00
2009/03/11	1.1179	1.1179	1.1179	1.1179	0	0.00
2009/03/12	1.1117	1.1117	1.1117	1.1117	0	0.00
2009/03/13	1.1091	1.1091	1.1091	1.1091	0	0.00
2009/03/16	1.1166	1.1166	1.1166	1.1166	0	0.00
2009/03/17	1.1412	1.1412	1.1412	1.1412	0	0.00
2009/03/18	1.1458	1.1458	1.1458	1.1458	0	0.00
2009/03/19	1.1566	1.1566	1.1566	1.1566	0	0.00
2009/03/20	1.1569	1.1569	1.1569	1.1569	0	0.00
