519732 交银双息 日线 后复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/06	1.0000	1.0000	1.0000	1.0000	0	0.00
2013/09/13	1.0020	1.0020	1.0020	1.0020	0	0.00
2013/09/18	1.0020	1.0020	1.0020	1.0020	0	0.00
2013/09/27	1.0030	1.0030	1.0030	1.0030	0	0.00
2013/09/30	1.0040	1.0040	1.0040	1.0040	0	0.00
2013/10/11	1.0080	1.0080	1.0080	1.0080	0	0.00
2013/10/18	1.0080	1.0080	1.0080	1.0080	0	0.00
2013/10/25	1.0080	1.0080	1.0080	1.0080	0	0.00
2013/11/01	1.0090	1.0090	1.0090	1.0090	0	0.00
2013/11/08	1.0080	1.0080	1.0080	1.0080	0	0.00
2013/11/15	1.0100	1.0100	1.0100	1.0100	0	0.00
2013/11/22	1.0120	1.0120	1.0120	1.0120	0	0.00
2013/11/29	1.0130	1.0130	1.0130	1.0130	0	0.00
2013/12/02	1.0110	1.0110	1.0110	1.0110	0	0.00
2013/12/03	1.0130	1.0130	1.0130	1.0130	0	0.00
2013/12/04	1.0150	1.0150	1.0150	1.0150	0	0.00
2013/12/05	1.0150	1.0150	1.0150	1.0150	0	0.00
2013/12/06	1.0140	1.0140	1.0140	1.0140	0	0.00
2013/12/09	1.0150	1.0150	1.0150	1.0150	0	0.00
2013/12/10	1.0150	1.0150	1.0150	1.0150	0	0.00
2013/12/11	1.0120	1.0120	1.0120	1.0120	0	0.00
2013/12/12	1.0140	1.0140	1.0140	1.0140	0	0.00
2013/12/13	1.0160	1.0160	1.0160	1.0160	0	0.00
2013/12/16	1.0150	1.0150	1.0150	1.0150	0	0.00
2013/12/17	1.0140	1.0140	1.0140	1.0140	0	0.00
2013/12/18	1.0120	1.0120	1.0120	1.0120	0	0.00
2013/12/19	1.0100	1.0100	1.0100	1.0100	0	0.00
2013/12/20	1.0080	1.0080	1.0080	1.0080	0	0.00
2013/12/23	1.0090	1.0090	1.0090	1.0090	0	0.00
2013/12/24	1.0100	1.0100	1.0100	1.0100	0	0.00
2013/12/25	1.0120	1.0120	1.0120	1.0120	0	0.00
2013/12/26	1.0080	1.0080	1.0080	1.0080	0	0.00
2013/12/27	1.0120	1.0120	1.0120	1.0120	0	0.00
2013/12/30	1.0120	1.0120	1.0120	1.0120	0	0.00
2013/12/31	1.0130	1.0130	1.0130	1.0130	0	0.00
2014/01/02	1.0180	1.0180	1.0180	1.0180	0	0.00
2014/01/03	1.0170	1.0170	1.0170	1.0170	0	0.00
2014/01/06	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/01/07	1.0110	1.0110	1.0110	1.0110	0	0.00
2014/01/08	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/01/09	1.0060	1.0060	1.0060	1.0060	0	0.00
2014/01/10	1.0000	1.0000	1.0000	1.0000	0	0.00
2014/01/13	1.0000	1.0000	1.0000	1.0000	0	0.00
2014/01/14	1.0040	1.0040	1.0040	1.0040	0	0.00
2014/01/15	1.0070	1.0070	1.0070	1.0070	0	0.00
2014/01/16	1.0070	1.0070	1.0070	1.0070	0	0.00
2014/01/17	1.0020	1.0020	1.0020	1.0020	0	0.00
2014/01/20	0.9980	0.9980	0.9980	0.9980	0	0.00
2014/01/21	1.0000	1.0000	1.0000	1.0000	0	0.00
2014/01/22	1.0090	1.0090	1.0090	1.0090	0	0.00
2014/01/23	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/01/24	1.0160	1.0160	1.0160	1.0160	0	0.00
2014/01/27	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/01/28	1.0080	1.0080	1.0080	1.0080	0	0.00
2014/01/29	1.0110	1.0110	1.0110	1.0110	0	0.00
2014/01/30	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/02/07	1.0180	1.0180	1.0180	1.0180	0	0.00
2014/02/10	1.0300	1.0300	1.0300	1.0300	0	0.00
2014/02/11	1.0260	1.0260	1.0260	1.0260	0	0.00
2014/02/12	1.0280	1.0280	1.0280	1.0280	0	0.00
2014/02/13	1.0230	1.0230	1.0230	1.0230	0	0.00
2014/02/14	1.0300	1.0300	1.0300	1.0300	0	0.00
2014/02/17	1.0400	1.0400	1.0400	1.0400	0	0.00
2014/02/18	1.0410	1.0410	1.0410	1.0410	0	0.00
2014/02/19	1.0390	1.0390	1.0390	1.0390	0	0.00
2014/02/20	1.0330	1.0330	1.0330	1.0330	0	0.00
2014/02/21	1.0290	1.0290	1.0290	1.0290	0	0.00
2014/02/24	1.0290	1.0290	1.0290	1.0290	0	0.00
2014/02/25	1.0120	1.0120	1.0120	1.0120	0	0.00
2014/02/26	1.0110	1.0110	1.0110	1.0110	0	0.00
2014/02/27	1.0050	1.0050	1.0050	1.0050	0	0.00
2014/02/28	1.0070	1.0070	1.0070	1.0070	0	0.00
2014/03/03	1.0120	1.0120	1.0120	1.0120	0	0.00
2014/03/04	1.0120	1.0120	1.0120	1.0120	0	0.00
2014/03/05	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/03/06	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/03/07	1.0070	1.0070	1.0070	1.0070	0	0.00
2014/03/10	0.9930	0.9930	0.9930	0.9930	0	0.00
2014/03/11	0.9920	0.9920	0.9920	0.9920	0	0.00
2014/03/12	0.9910	0.9910	0.9910	0.9910	0	0.00
2014/03/13	0.9970	0.9970	0.9970	0.9970	0	0.00
2014/03/14	0.9960	0.9960	0.9960	0.9960	0	0.00
2014/03/17	1.0030	1.0030	1.0030	1.0030	0	0.00
2014/03/18	1.0020	1.0020	1.0020	1.0020	0	0.00
2014/03/19	0.9940	0.9940	0.9940	0.9940	0	0.00
2014/03/20	0.9840	0.9840	0.9840	0.9840	0	0.00
2014/03/21	0.9900	0.9900	0.9900	0.9900	0	0.00
2014/03/24	0.9880	0.9880	0.9880	0.9880	0	0.00
2014/03/25	0.9920	0.9920	0.9920	0.9920	0	0.00
2014/03/26	0.9960	0.9960	0.9960	0.9960	0	0.00
2014/03/27	0.9870	0.9870	0.9870	0.9870	0	0.00
2014/03/28	0.9800	0.9800	0.9800	0.9800	0	0.00
2014/03/31	0.9800	0.9800	0.9800	0.9800	0	0.00
2014/04/01	0.9880	0.9880	0.9880	0.9880	0	0.00
2014/04/02	0.9860	0.9860	0.9860	0.9860	0	0.00
2014/04/03	0.9890	0.9890	0.9890	0.9890	0	0.00
2014/04/04	0.9960	0.9960	0.9960	0.9960	0	0.00
2014/04/08	1.0050	1.0050	1.0050	1.0050	0	0.00
2014/04/09	1.0080	1.0080	1.0080	1.0080	0	0.00
2014/04/10	1.0130	1.0130	1.0130	1.0130	0	0.00
2014/04/11	1.0120	1.0120	1.0120	1.0120	0	0.00
2014/04/14	1.0150	1.0150	1.0150	1.0150	0	0.00
2014/04/15	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/04/16	1.0090	1.0090	1.0090	1.0090	0	0.00
2014/04/17	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/04/18	1.0110	1.0110	1.0110	1.0110	0	0.00
2014/04/21	1.0080	1.0080	1.0080	1.0080	0	0.00
2014/04/22	1.0040	1.0040	1.0040	1.0040	0	0.00
2014/04/23	1.0040	1.0040	1.0040	1.0040	0	0.00
2014/04/24	1.0040	1.0040	1.0040	1.0040	0	0.00
2014/04/25	0.9960	0.9960	0.9960	0.9960	0	0.00
2014/04/28	0.9830	0.9830	0.9830	0.9830	0	0.00
2014/04/29	0.9900	0.9900	0.9900	0.9900	0	0.00
2014/04/30	0.9950	0.9950	0.9950	0.9950	0	0.00
2014/05/05	0.9990	0.9990	0.9990	0.9990	0	0.00
2014/05/06	1.0030	1.0030	1.0030	1.0030	0	0.00
2014/05/07	0.9970	0.9970	0.9970	0.9970	0	0.00
2014/05/08	0.9970	0.9970	0.9970	0.9970	0	0.00
2014/05/09	0.9950	0.9950	0.9950	0.9950	0	0.00
2014/05/12	1.0030	1.0030	1.0030	1.0030	0	0.00
2014/05/13	1.0010	1.0010	1.0010	1.0010	0	0.00
2014/05/14	1.0010	1.0010	1.0010	1.0010	0	0.00
2014/05/15	0.9910	0.9910	0.9910	0.9910	0	0.00
2014/05/16	0.9860	0.9860	0.9860	0.9860	0	0.00
2014/05/19	0.9820	0.9820	0.9820	0.9820	0	0.00
2014/05/20	0.9850	0.9850	0.9850	0.9850	0	0.00
2014/05/21	0.9910	0.9910	0.9910	0.9910	0	0.00
2014/05/22	0.9920	0.9920	0.9920	0.9920	0	0.00
2014/05/23	0.9980	0.9980	0.9980	0.9980	0	0.00
2014/05/26	1.0030	1.0030	1.0030	1.0030	0	0.00
2014/05/27	1.0030	1.0030	1.0030	1.0030	0	0.00
2014/05/28	1.0080	1.0080	1.0080	1.0080	0	0.00
2014/05/29	1.0010	1.0010	1.0010	1.0010	0	0.00
2014/05/30	1.0050	1.0050	1.0050	1.0050	0	0.00
2014/06/03	1.0040	1.0040	1.0040	1.0040	0	0.00
2014/06/04	1.0000	1.0000	1.0000	1.0000	0	0.00
2014/06/05	1.0050	1.0050	1.0050	1.0050	0	0.00
2014/06/06	1.0060	1.0060	1.0060	1.0060	0	0.00
2014/06/09	1.0040	1.0040	1.0040	1.0040	0	0.00
2014/06/10	1.0140	1.0140	1.0140	1.0140	0	0.00
2014/06/11	1.0170	1.0170	1.0170	1.0170	0	0.00
2014/06/12	1.0140	1.0140	1.0140	1.0140	0	0.00
2014/06/13	1.0220	1.0220	1.0220	1.0220	0	0.00
2014/06/16	1.0250	1.0250	1.0250	1.0250	0	0.00
2014/06/17	1.0180	1.0180	1.0180	1.0180	0	0.00
2014/06/18	1.0130	1.0130	1.0130	1.0130	0	0.00
2014/06/19	1.0030	1.0030	1.0030	1.0030	0	0.00
2014/06/20	1.0080	1.0080	1.0080	1.0080	0	0.00
2014/06/23	1.0120	1.0120	1.0120	1.0120	0	0.00
2014/06/24	1.0160	1.0160	1.0160	1.0160	0	0.00
2014/06/25	1.0150	1.0150	1.0150	1.0150	0	0.00
2014/06/26	1.0250	1.0250	1.0250	1.0250	0	0.00
2014/06/27	1.0270	1.0270	1.0270	1.0270	0	0.00
2014/06/30	1.0350	1.0350	1.0350	1.0350	0	0.00
2014/07/01	1.0350	1.0350	1.0350	1.0350	0	0.00
2014/07/02	1.0380	1.0380	1.0380	1.0380	0	0.00
2014/07/03	1.0400	1.0400	1.0400	1.0400	0	0.00
2014/07/04	1.0360	1.0360	1.0360	1.0360	0	0.00
2014/07/07	1.0370	1.0370	1.0370	1.0370	0	0.00
2014/07/08	1.0390	1.0390	1.0390	1.0390	0	0.00
2014/07/09	1.0300	1.0300	1.0300	1.0300	0	0.00
2014/07/10	1.0260	1.0260	1.0260	1.0260	0	0.00
2014/07/11	1.0310	1.0310	1.0310	1.0310	0	0.00
2014/07/14	1.0360	1.0360	1.0360	1.0360	0	0.00
2014/07/15	1.0360	1.0360	1.0360	1.0360	0	0.00
2014/07/16	1.0290	1.0290	1.0290	1.0290	0	0.00
2014/07/17	1.0250	1.0250	1.0250	1.0250	0	0.00
2014/07/18	1.0290	1.0290	1.0290	1.0290	0	0.00
2014/07/21	1.0320	1.0320	1.0320	1.0320	0	0.00
2014/07/22	1.0400	1.0400	1.0400	1.0400	0	0.00
2014/07/23	1.0380	1.0380	1.0380	1.0380	0	0.00
2014/07/24	1.0430	1.0430	1.0430	1.0430	0	0.00
2014/07/25	1.0490	1.0490	1.0490	1.0490	0	0.00
2014/07/28	1.0610	1.0610	1.0610	1.0610	0	0.00
2014/07/29	1.0670	1.0670	1.0670	1.0670	0	0.00
2014/07/30	1.0670	1.0670	1.0670	1.0670	0	0.00
2014/07/31	1.0770	1.0770	1.0770	1.0770	0	0.00
2014/08/01	1.0720	1.0720	1.0720	1.0720	0	0.00
2014/08/04	1.0850	1.0850	1.0850	1.0850	0	0.00
2014/08/05	1.0860	1.0860	1.0860	1.0860	0	0.00
2014/08/06	1.0850	1.0850	1.0850	1.0850	0	0.00
2014/08/07	1.0760	1.0760	1.0760	1.0760	0	0.00
2014/08/08	1.0780	1.0780	1.0780	1.0780	0	0.00
2014/08/11	1.0870	1.0870	1.0870	1.0870	0	0.00
2014/08/12	1.0910	1.0910	1.0910	1.0910	0	0.00
2014/08/13	1.0890	1.0890	1.0890	1.0890	0	0.00
2014/08/14	1.0850	1.0850	1.0850	1.0850	0	0.00
2014/08/15	1.0900	1.0900	1.0900	1.0900	0	0.00
2014/08/18	1.0950	1.0950	1.0950	1.0950	0	0.00
2014/08/19	1.0980	1.0980	1.0980	1.0980	0	0.00
2014/08/20	1.0940	1.0940	1.0940	1.0940	0	0.00
2014/08/21	1.0930	1.0930	1.0930	1.0930	0	0.00
2014/08/22	1.0990	1.0990	1.0990	1.0990	0	0.00
2014/08/25	1.0950	1.0950	1.0950	1.0950	0	0.00
2014/08/26	1.0880	1.0880	1.0880	1.0880	0	0.00
2014/08/27	1.0890	1.0890	1.0890	1.0890	0	0.00
2014/08/28	1.0830	1.0830	1.0830	1.0830	0	0.00
2014/08/29	1.0920	1.0920	1.0920	1.0920	0	0.00
2014/09/01	1.1030	1.1030	1.1030	1.1030	0	0.00
2014/09/02	1.1140	1.1140	1.1140	1.1140	0	0.00
2014/09/03	1.1260	1.1260	1.1260	1.1260	0	0.00
2014/09/04	1.1300	1.1300	1.1300	1.1300	0	0.00
2014/09/05	1.1320	1.1320	1.1320	1.1320	0	0.00
2014/09/09	1.1290	1.1290	1.1290	1.1290	0	0.00
2014/09/10	1.1290	1.1290	1.1290	1.1290	0	0.00
2014/09/11	1.1330	1.1330	1.1330	1.1330	0	0.00
2014/09/12	1.1390	1.1390	1.1390	1.1390	0	0.00
2014/09/15	1.1400	1.1400	1.1400	1.1400	0	0.00
2014/09/16	1.1100	1.1100	1.1100	1.1100	0	0.00
2014/09/17	1.1140	1.1140	1.1140	1.1140	0	0.00
2014/09/18	1.1200	1.1200	1.1200	1.1200	0	0.00
2014/09/19	1.1290	1.1290	1.1290	1.1290	0	0.00
2014/09/22	1.1160	1.1160	1.1160	1.1160	0	0.00
2014/09/23	1.1240	1.1240	1.1240	1.1240	0	0.00
2014/09/24	1.1320	1.1320	1.1320	1.1320	0	0.00
2014/09/25	1.1300	1.1300	1.1300	1.1300	0	0.00
2014/09/26	1.1300	1.1300	1.1300	1.1300	0	0.00
